projection	constraint	weight	observed	expected	plog	objective	heldoutPlog	regexp
default	[-syllabic,+sonorant][-syllabic][+wb]	14	0	0	148,325.43	148,325.554	null	(m|n|N|r|l|L|y|w|nk|nq|rq|lq|Lq|yq|wq)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|nk|nq|rq|lq|Lq|yq|wq)(<#|#>)
default	[+wb][-low][+cg]	13.683	0	0	148,013.756	148,013.882	null	(<#|#>)(y|w|i|u|o|e|yq|wq)(b|d|z|g|G)
default	[-low][-cg][-syllabic]	13.48	0	0	147,781.92	147,782.047	null	(y|w|i|u|o|e|yq|wq)(p|t|c|k|q|P|T|C|K|Q|h)(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h|m|n|N|r|l|L|y|w|nk|nq|rq|lq|Lq|yq|wq)
default	[-back][-syllabic,+sonorant,+continuant][+cg]	13.621	0	0	147,559.232	147,559.361	null	(y|i|e|yq)(r|l|L|y|w|rq|lq|Lq|yq|wq)(b|d|z|g|G)
default	[+continuant,+coronal][-syllabic,+continuant][-low,+back]	13.519	0	0	147,357.756	147,357.886	null	(s|S|r|l|L|rq|lq|Lq)(s|S|x|h|r|l|L|y|w|rq|lq|Lq|yq|wq)(w|u|o|wq)
default	[+wb][-back][-sonorant,+dorsal]	13.467	0	0	147,173.282	147,173.414	null	(<#|#>)(y|i|e|yq)(k|q|g|G|K|Q|x)
default	[+sonorant,+anterior][-anterior][-low]	13.425	0	0	146,998.758	146,998.892	null	(n|r|l|rq|lq)(c|z|C|S|N|L|Lq)(y|w|i|u|o|e|yq|wq)
default	[+continuant][+sg,+labial][-low,+back]	13.302	0	0	146,839.642	146,839.777	null	(s|S|x|h|r|l|L|y|w|a|i|u|o|e|rq|lq|Lq|yq|wq)(P)(w|u|o|wq)
default	[-sonorant][-back][+sg]	13.291	0	0	146,681.228	146,681.365	null	(p|t|c|k|q|b|d|z|g|G|P|T|C|K|Q|s|S|x|h)(y|i|e|yq)(P|T|C|K|Q|h)
default	[+continuant][+cg,+labial][-low,+back]	13.284	0	0	146,526.153	146,526.292	null	(s|S|x|h|r|l|L|y|w|a|i|u|o|e|rq|lq|Lq|yq|wq)(b)(w|u|o|wq)
